time,close,Kalman,Kalman Filter,Kalman Filter
2022-10-13,0.06515,10000,10000,10000
2022-10-14,0.06175,9993.95840261181,9970.284770945109,10000
2022-10-15,0.06042,10363.418251977408,12151.272527170177,10000
2022-10-16,0.06149,10741.208565004848,12905.048837529235,10620.327055189999
2022-10-17,0.06288,11200.003451597197,14218.902187371028,11701.574592766021
2022-10-18,0.06233,11514.079673426108,13836.126014582474,11386.565467645447
2022-10-19,0.0595,11756.330775488312,13734.268812766544,11302.741159048815
2022-10-20,0.05848,12058.778857221767,14748.493602971525,12137.406654318696
2022-10-21,0.05983,12276.532810305482,14362.030540652086,11819.363369999865
2022-10-22,0.05992,12431.960259052614,14019.975237309123,11537.865853934672
2022-10-23,0.0607,12561.025674067198,13956.58274865869,11485.696430107917
2022-10-24,0.05875,12646.953952770367,13623.552070436099,11211.625811184726
2022-10-25,0.05973,12732.212496566166,13744.72417113771,11311.345491103575
2022-10-26,0.06076,12820.737663908849,13913.660751134958,11450.373382725218
2022-10-27,0.05865,12898.450841809232,13891.429357545743,11432.077855619309
2022-10-28,0.06004,12979.207492405028,14042.977025725686,11556.795384455143
2022-10-29,0.06139,13094.814551015003,14659.347915806851,12064.043402062322
2022-10-30,0.06063,13148.986686157083,13899.903700646582,11439.051893179483
2022-10-31,0.0596,13200.03605753039,13922.905489063145,11457.981423699954
2022-11-01,0.05826,13254.423774923265,14039.2901361948,11553.761225256885
2022-11-02,0.05887,13309.012906171312,14110.166460310911,11612.08953939652
2022-11-03,0.05986,13393.017819701874,14644.490301279406,12051.816193352928
2022-11-04,0.06338,13477.638670214457,14755.20704360985,12142.931541217014
2022-11-05,0.06226,13539.194197151903,14479.625808226716,11916.13946263682
2022-11-06,0.05913,13562.771933181115,13926.812491401844,11461.196726730943
2022-11-07,0.05908,13584.292731689155,13919.713853349842,11455.354838125342
2022-11-08,0.05215,13607.553734193445,13973.146237446692,11499.327503520984
2022-11-09,0.04418,13651.723512946668,14351.134956665292,11810.396750279642
2022-11-10,0.04978,13688.51499345887,14274.975925161645,11747.720984154443
2022-11-11,0.04823,13727.122517072357,14346.182418489476,11806.321014043177
2022-11-12,0.04707,13702.117448127205,13299.050763516303,10944.574515779892
