time,close
2023-03-22,7.196
2023-03-23,7.623
2023-03-24,7.201
2023-03-25,7.082
2023-03-26,7.265
2023-03-27,6.876
2023-03-28,6.954
2023-03-29,7.383
2023-03-30,7.232
2023-03-31,7.591
2023-04-01,7.55
2023-04-02,7.26
2023-04-03,7.244
2023-04-04,7.373
2023-04-05,7.322
2023-04-06,7.203
2023-04-07,7.273
2023-04-08,7.136
2023-04-09,7.206
2023-04-10,7.348
2023-04-11,7.307
2023-04-12,7.235
2023-04-13,7.466
2023-04-14,7.751
2023-04-15,8.015
2023-04-16,8.146
2023-04-17,8.165
2023-04-18,8.586
2023-04-19,7.756
2023-04-20,7.506
2023-04-21,7.111
2023-04-22,7.178
2023-04-23,7.083
2023-04-24,7.072
2023-04-25,7.274
2023-04-26,7.01
2023-04-27,7.173
2023-04-28,7.046
2023-04-29,7.19
2023-04-30,7.029
2023-05-01,6.896
2023-05-02,6.988
2023-05-03,7.132
2023-05-04,7.004
2023-05-05,7.235
2023-05-06,6.932
2023-05-07,6.909
2023-05-08,6.587
2023-05-09,6.528
2023-05-10,6.592
2023-05-11,6.369
2023-05-12,6.63
2023-05-13,6.497
2023-05-14,6.55
2023-05-15,6.638
2023-05-16,6.659
2023-05-17,6.762
2023-05-18,6.531
2023-05-19,6.513
2023-05-20,6.507
2023-05-21,6.431
2023-05-22,6.535
2023-05-23,6.507
2023-05-24,6.324
2023-05-25,6.278
2023-05-26,6.345
2023-05-27,6.441
2023-05-28,6.635
2023-05-29,6.641
2023-05-30,6.614
2023-05-31,6.481
2023-06-01,6.345
2023-06-02,6.452
2023-06-03,6.424
2023-06-04,6.451
2023-06-05,6.058
2023-06-06,6.26
2023-06-07,5.919
2023-06-08,5.996
2023-06-09,5.992
2023-06-10,5.24
2023-06-11,5.176
2023-06-12,5.16
2023-06-13,5.3
2023-06-14,5.249
2023-06-15,5.305
2023-06-16,5.322
2023-06-17,5.281
2023-06-18,5.151
2023-06-19,5.133
2023-06-20,5.268
2023-06-21,5.556
2023-06-22,5.561
2023-06-23,6.081
2023-06-24,6.138
2023-06-25,6.162
2023-06-26,6.061
2023-06-27,6.198
2023-06-28,5.816
2023-06-29,5.891
2023-06-30,6.311
2023-07-01,6.504
2023-07-02,6.544
2023-07-03,6.628
2023-07-04,6.526
2023-07-05,6.292
2023-07-06,6.084
2023-07-07,6.157
2023-07-08,6.198
2023-07-09,6.147
2023-07-10,6.175
2023-07-11,6.207
2023-07-12,6.25
2023-07-13,7.128
2023-07-14,6.963
2023-07-15,6.921
2023-07-16,6.61
2023-07-17,7.195
2023-07-18,6.914
2023-07-19,6.917
2023-07-20,8.359
2023-07-21,8.127
2023-07-22,7.882
2023-07-23,7.893
2023-07-24,7.587
2023-07-25,7.396
2023-07-26,7.745
2023-07-27,7.987
2023-07-28,7.772
2023-07-29,7.846
2023-07-30,7.555
2023-07-31,7.545
2023-08-01,7.637
2023-08-02,7.345
2023-08-03,7.122
2023-08-04,7.13
2023-08-05,7.223
2023-08-06,7.092
2023-08-07,7.32
2023-08-08,7.465
2023-08-09,7.675
2023-08-10,7.613
2023-08-11,7.483
2023-08-12,7.441
2023-08-13,7.362
2023-08-14,7.406
2023-08-15,7.034
2023-08-16,6.756
2023-08-17,6.197
2023-08-18,6.173
2023-08-19,6.178
2023-08-20,6.222
2023-08-21,6.175
2023-08-22,6.113
2023-08-23,6.349
2023-08-24,6.084
2023-08-25,6.012
2023-08-26,6.003
2023-08-27,6.029
2023-08-28,5.975
2023-08-29,6.193
2023-08-30,5.924
2023-08-31,5.876
2023-09-01,5.939
2023-09-02,5.972
2023-09-03,6.03
2023-09-04,6.009
2023-09-05,6.135
2023-09-06,6.3
2023-09-07,6.387
2023-09-08,6.278
2023-09-09,6.165
2023-09-10,6.011
2023-09-11,5.828
2023-09-12,5.96
