time,close
2021-03-18,1.23
2021-03-19,1.3076
2021-03-20,1.2013
2021-03-21,1.1885
2021-03-22,1.1027
2021-03-23,1.1178
2021-03-24,1.0674
2021-03-25,1.0963
2021-03-26,1.2144
2021-03-27,1.1768
2021-03-28,1.1903
2021-03-29,1.2032
2021-03-30,1.2135
2021-03-31,1.1934
2021-04-01,1.1842
2021-04-02,1.1908
2021-04-03,1.1637
2021-04-04,1.1817
2021-04-05,1.2123
2021-04-06,1.2566
2021-04-07,1.1745
2021-04-08,1.2195
2021-04-09,1.2027
2021-04-10,1.2176
2021-04-11,1.2647
2021-04-12,1.3153
2021-04-13,1.414
2021-04-14,1.4512
2021-04-15,1.4803
2021-04-16,1.413
2021-04-17,1.3772
2021-04-18,1.2804
2021-04-19,1.1963
2021-04-20,1.2689
2021-04-21,1.2042
2021-04-22,1.1456
2021-04-23,1.1599
2021-04-24,1.1047
2021-04-25,1.0927
2021-04-26,1.239
2021-04-27,1.3081
2021-04-28,1.3383
2021-04-29,1.3076
2021-04-30,1.3556
2021-05-01,1.3537
2021-05-02,1.3284
2021-05-03,1.3634
2021-05-04,1.2719
2021-05-05,1.4827
2021-05-06,1.6503
2021-05-07,1.6551
2021-05-08,1.625
2021-05-09,1.7704
2021-05-10,1.6449
2021-05-11,1.7661
2021-05-12,1.5667
2021-05-13,1.9556
2021-05-14,2.011
2021-05-15,2.1935
2021-05-16,2.3101
2021-05-17,2.0324
2021-05-18,2.0049
2021-05-19,1.4919
2021-05-20,1.806
2021-05-21,1.5525
2021-05-22,1.4652
2021-05-23,1.3178
2021-05-24,1.55
2021-05-25,1.5549
2021-05-26,1.7811
2021-05-27,1.6567
2021-05-28,1.5141
2021-05-29,1.4051
2021-05-30,1.5769
2021-05-31,1.7391
2021-06-01,1.7349
2021-06-02,1.7542
2021-06-03,1.8456
2021-06-04,1.7085
2021-06-05,1.657
2021-06-06,1.6778
2021-06-07,1.5665
2021-06-08,1.5842
2021-06-09,1.6279
2021-06-10,1.5321
2021-06-11,1.4378
2021-06-12,1.4781
2021-06-13,1.5573
2021-06-14,1.5772
2021-06-15,1.5545
2021-06-16,1.485
2021-06-17,1.4824
2021-06-18,1.4169
2021-06-19,1.3844
2021-06-20,1.4252
2021-06-21,1.1734
2021-06-22,1.1586
2021-06-23,1.2508
2021-06-24,1.3602
2021-06-25,1.2529
2021-06-26,1.2518
2021-06-27,1.3372
2021-06-28,1.326
2021-06-29,1.3736
2021-06-30,1.3863
2021-07-01,1.3325
2021-07-02,1.3956
2021-07-03,1.4054
2021-07-04,1.4623
2021-07-05,1.4038
2021-07-06,1.4161
2021-07-07,1.4049
2021-07-08,1.3276
2021-07-09,1.351
2021-07-10,1.3356
2021-07-11,1.3486
2021-07-12,1.3129
2021-07-13,1.2654
2021-07-14,1.2633
2021-07-15,1.2249
2021-07-16,1.1714
2021-07-17,1.173
2021-07-18,1.1815
2021-07-19,1.1226
2021-07-20,1.0559
2021-07-21,1.1703
2021-07-22,1.1858
2021-07-23,1.2079
2021-07-24,1.2345
2021-07-25,1.2295
2021-07-26,1.2554
2021-07-27,1.2807
2021-07-28,1.288
2021-07-29,1.286
2021-07-30,1.3115
2021-07-31,1.3206
2021-08-01,1.3147
2021-08-02,1.3078
2021-08-03,1.3692
2021-08-04,1.3767
2021-08-05,1.3867
